#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  84000      2.01e+00    3.01e+00      7.56e-03    7.82e-03      9.56e-02    1.43e-01    4.4e-04
  85000      2.79e+00    2.74e+00      1.81e-03    1.69e-03      1.36e-01    1.34e-01    4.2e-04
  86000      2.12e+00    1.99e+00      9.25e-03    9.46e-03      1.04e-01    9.73e-02    4.2e-04
  87000      2.69e+00    2.71e+00      1.02e-02    1.01e-02      1.32e-01    1.32e-01    4.2e-04
  88000      2.51e+00    1.81e+00      4.36e-03    3.94e-03      1.23e-01    8.82e-02    4.2e-04
  89000      2.41e+00    2.19e+00      1.57e-02    1.55e-02      1.18e-01    1.07e-01    4.2e-04
  90000      2.21e+00    1.42e+00      1.45e-02    1.48e-02      1.11e-01    7.14e-02    4.0e-04
  91000      2.80e+00    2.36e+00      1.48e-03    1.96e-03      1.40e-01    1.19e-01    4.0e-04
  92000      2.78e+00    2.32e+00      3.20e-03    3.38e-03      1.39e-01    1.16e-01    4.0e-04
  93000      2.25e+00    1.66e+00      1.22e-02    1.21e-02      1.13e-01    8.34e-02    4.0e-04
  94000      1.91e+00    2.44e+00      1.17e-03    1.01e-03      9.56e-02    1.22e-01    4.0e-04
  95000      1.99e+00    2.43e+00      5.92e-04    5.77e-04      1.02e-01    1.25e-01    3.8e-04
  96000      2.13e+00    1.91e+00      1.09e-02    1.12e-02      1.10e-01    9.84e-02    3.8e-04
  97000      2.71e+00    2.30e+00      1.54e-02    1.56e-02      1.39e-01    1.18e-01    3.8e-04
  98000      2.05e+00    2.78e+00      8.62e-04    6.99e-04      1.06e-01    1.43e-01    3.8e-04
  99000      2.45e+00    2.77e+00      9.88e-03    1.00e-02      1.26e-01    1.42e-01    3.8e-04
 100000      2.24e+00    2.55e+00      5.97e-03    5.97e-03      1.18e-01    1.34e-01    3.6e-04
 101000      2.18e+00    2.12e+00      6.93e-03    7.31e-03      1.15e-01    1.12e-01    3.6e-04
 102000      2.38e+00    1.58e+00      7.28e-04    5.30e-04      1.25e-01    8.32e-02    3.6e-04
 103000      2.91e+00    3.17e+00      1.43e-02    1.42e-02      1.53e-01    1.67e-01    3.6e-04
 104000      1.79e+00    1.43e+00      6.53e-03    6.55e-03      9.43e-02    7.56e-02    3.6e-04
 105000      2.68e+00    2.28e+00      6.29e-03    6.33e-03      1.45e-01    1.23e-01    3.4e-04
 106000      2.70e+00    2.33e+00      9.42e-03    9.68e-03      1.46e-01    1.26e-01    3.4e-04
 107000      1.91e+00    1.91e+00      1.63e-02    1.63e-02      1.03e-01    1.03e-01    3.4e-04
 108000      1.56e+00    2.11e+00      2.04e-02    2.09e-02      8.43e-02    1.14e-01    3.4e-04
 109000      1.73e+00    2.66e+00      6.55e-03    7.00e-03      9.36e-02    1.44e-01    3.4e-04
 110000      2.19e+00    2.53e+00      6.85e-03    6.84e-03      1.21e-01    1.41e-01    3.2e-04
 111000      1.79e+00    2.13e+00      4.98e-03    5.32e-03      9.95e-02    1.18e-01    3.2e-04
 112000      1.85e+00    2.06e+00      5.43e-03    5.61e-03      1.03e-01    1.15e-01    3.2e-04
 113000      1.55e+00    2.51e+00      7.00e-03    6.88e-03      8.62e-02    1.39e-01    3.2e-04
 114000      2.72e+00    1.86e+00      4.66e-03    5.32e-03      1.51e-01    1.03e-01    3.2e-04
 115000      2.06e+00    2.29e+00      6.04e-03    5.56e-03      1.18e-01    1.31e-01    3.1e-04
 116000      1.69e+00    1.70e+00      3.78e-03    3.79e-03      9.63e-02    9.70e-02    3.1e-04
 117000      2.30e+00    1.67e+00      3.62e-03    2.95e-03      1.31e-01    9.50e-02    3.1e-04
